collection,id,original_tokens,summary_tokens,compression_ratio,labels
case,C1,1583,502,0.31711939355653823,"criminal_law,evidence_law,statutory_interpretation"
case,C2,7732,582,0.07527159855147439,"criminal_law,property_law,contract_law,statutory_interpretation"
case,C3,2418,254,0.10504549214226634,"administrative_law,service_law,statutory_interpretation,writ_jurisdiction"
case,C4,8584,420,0.048928238583411,"criminal_law,evidence_law,statutory_interpretation,property_law"
case,C5,2395,201,0.08392484342379958,"criminal_law,evidence_law,civil_procedure"
case,C6,11814,670,0.05671237514812934,"criminal_law,evidence_law,civil_procedure,contract_law"
case,C7,3553,596,0.1677455671263721,"statutory_interpretation,property_law,criminal_law,administrative_law"
case,C8,1986,406,0.20443101711983888,"administrative_law,tax_law,constitutional_law,civil_procedure"
case,C9,1088,315,0.28952205882352944,"statutory_interpretation,service_law,civil_procedure,constitutional_law"
case,C10,8815,500,0.05672149744753262,"statutory_interpretation,property_law,administrative_law,constitutional_law"
case,C11,3317,461,0.1389810069339765,"civil_procedure,statutory_interpretation,criminal_law,administrative_law"
case,C12,5180,548,0.10579150579150579,"criminal_law,evidence_law,civil_procedure"
case,C13,8054,590,0.07325552520486715,"administrative_law,service_law,statutory_interpretation,civil_procedure"
case,C14,33375,736,0.022052434456928838,"statutory_interpretation,administrative_law,constitutional_law,contract_law"
case,C15,1376,512,0.37209302325581395,"service_law,statutory_interpretation,civil_procedure"
case,C16,3992,277,0.06938877755511022,"criminal_law,evidence_law,property_law,statutory_interpretation"
case,C17,4430,492,0.11106094808126411,"statutory_interpretation,administrative_law,service_law,constitutional_law"
case,C18,3506,376,0.10724472333143183,"criminal_law,statutory_interpretation,evidence_law"
case,C19,3993,324,0.0811419984973704,"criminal_law,evidence_law,statutory_interpretation"
case,C20,3997,544,0.13610207655741807,"criminal_law,evidence_law,civil_procedure,family_law"
case,C21,5953,545,0.09155047875020998,"criminal_law,administrative_law,civil_procedure,statutory_interpretation"
case,C22,3669,514,0.14009266830198963,"criminal_law,administrative_law,civil_procedure,constitutional_law"
case,C23,4114,513,0.12469615945551775,"administrative_law,statutory_interpretation,constitutional_law,writ_jurisdiction"
case,C24,2267,467,0.20599911777679752,"tax_law,administrative_law,statutory_interpretation,civil_procedure"
case,C25,4828,480,0.09942004971002485,"administrative_law,constitutional_law,criminal_law,writ_jurisdiction"
case,C26,4402,410,0.093139482053612,"criminal_law,evidence_law,statutory_interpretation,administrative_law"
case,C27,2760,504,0.1826086956521739,"criminal_law,civil_procedure"
case,C28,14583,481,0.032983611053966945,"service_law,constitutional_law,administrative_law,statutory_interpretation"
