id,collection,reason
C79,case,empty_or_low_compression
C85,case,empty_or_low_compression
C118,case,empty_or_low_compression
C293,case,empty_or_low_compression
C371,case,empty_or_low_compression
C382,case,empty_or_low_compression
C390,case,empty_or_low_compression
C526,case,empty_or_low_compression
C609,case,empty_or_low_compression
C612,case,empty_or_low_compression
C665,case,empty_or_low_compression
C794,case,empty_or_low_compression
C832,case,empty_or_low_compression
C861,case,empty_or_low_compression
C893,case,empty_or_low_compression
C970,case,empty_or_low_compression
C1025,case,empty_or_low_compression
C1097,case,empty_or_low_compression
C1134,case,empty_or_low_compression
C1247,case,empty_or_low_compression
C1299,case,empty_or_low_compression
C1363,case,empty_or_low_compression
C1398,case,empty_or_low_compression
C1423,case,empty_or_low_compression
C1503,case,empty_or_low_compression
C1563,case,empty_or_low_compression
C1598,case,empty_or_low_compression
C1948,case,empty_or_low_compression
C2031,case,empty_or_low_compression
C2143,case,empty_or_low_compression
C2179,case,empty_or_low_compression
C2230,case,empty_or_low_compression
C2299,case,empty_or_low_compression
C2307,case,empty_or_low_compression
C2364,case,empty_or_low_compression
C2391,case,empty_or_low_compression
C2887,case,empty_or_low_compression
C2890,case,empty_or_low_compression
S1,statute,empty_or_low_compression
S2,statute,empty_or_low_compression
S3,statute,empty_or_low_compression
S4,statute,empty_or_low_compression
S5,statute,empty_or_low_compression
S6,statute,empty_or_low_compression
S9,statute,empty_or_low_compression
S11,statute,empty_or_low_compression
S12,statute,empty_or_low_compression
S14,statute,empty_or_low_compression
S15,statute,empty_or_low_compression
S16,statute,empty_or_low_compression
S17,statute,empty_or_low_compression
S18,statute,empty_or_low_compression
S19,statute,empty_or_low_compression
S20,statute,empty_or_low_compression
S21,statute,empty_or_low_compression
S22,statute,empty_or_low_compression
S23,statute,empty_or_low_compression
S24,statute,empty_or_low_compression
S25,statute,empty_or_low_compression
S26,statute,empty_or_low_compression
S29,statute,empty_or_low_compression
S30,statute,empty_or_low_compression
S33,statute,empty_or_low_compression
S34,statute,empty_or_low_compression
S36,statute,empty_or_low_compression
S37,statute,empty_or_low_compression
S38,statute,empty_or_low_compression
S39,statute,empty_or_low_compression
S40,statute,empty_or_low_compression
S44,statute,empty_or_low_compression
S45,statute,empty_or_low_compression
S46,statute,empty_or_low_compression
S47,statute,empty_or_low_compression
S48,statute,empty_or_low_compression
S49,statute,empty_or_low_compression
S50,statute,empty_or_low_compression
S51,statute,empty_or_low_compression
S52,statute,empty_or_low_compression
S53,statute,empty_or_low_compression
S54,statute,empty_or_low_compression
S59,statute,empty_or_low_compression
S61,statute,empty_or_low_compression
S63,statute,empty_or_low_compression
S64,statute,empty_or_low_compression
S68,statute,empty_or_low_compression
S69,statute,empty_or_low_compression
S70,statute,empty_or_low_compression
S72,statute,empty_or_low_compression
S73,statute,empty_or_low_compression
S74,statute,empty_or_low_compression
S75,statute,empty_or_low_compression
S76,statute,empty_or_low_compression
S78,statute,empty_or_low_compression
S79,statute,empty_or_low_compression
S80,statute,empty_or_low_compression
S81,statute,empty_or_low_compression
S83,statute,empty_or_low_compression
S84,statute,empty_or_low_compression
S85,statute,empty_or_low_compression
S88,statute,empty_or_low_compression
S89,statute,empty_or_low_compression
S90,statute,empty_or_low_compression
S91,statute,empty_or_low_compression
S93,statute,empty_or_low_compression
S96,statute,empty_or_low_compression
S98,statute,empty_or_low_compression
S99,statute,empty_or_low_compression
S100,statute,empty_or_low_compression
S101,statute,empty_or_low_compression
S102,statute,empty_or_low_compression
S103,statute,empty_or_low_compression
S105,statute,empty_or_low_compression
S107,statute,empty_or_low_compression
S108,statute,empty_or_low_compression
S110,statute,empty_or_low_compression
S111,statute,empty_or_low_compression
S112,statute,empty_or_low_compression
S113,statute,empty_or_low_compression
S114,statute,empty_or_low_compression
S116,statute,empty_or_low_compression
S117,statute,empty_or_low_compression
S118,statute,empty_or_low_compression
S119,statute,empty_or_low_compression
S121,statute,empty_or_low_compression
S122,statute,empty_or_low_compression
S123,statute,empty_or_low_compression
S124,statute,empty_or_low_compression
S125,statute,empty_or_low_compression
S127,statute,empty_or_low_compression
S129,statute,empty_or_low_compression
S130,statute,empty_or_low_compression
S131,statute,empty_or_low_compression
S132,statute,empty_or_low_compression
S133,statute,empty_or_low_compression
S136,statute,empty_or_low_compression
S138,statute,empty_or_low_compression
S142,statute,empty_or_low_compression
S148,statute,empty_or_low_compression
S152,statute,empty_or_low_compression
S153,statute,empty_or_low_compression
S154,statute,empty_or_low_compression
S155,statute,empty_or_low_compression
S156,statute,empty_or_low_compression
S158,statute,empty_or_low_compression
S160,statute,empty_or_low_compression
S161,statute,empty_or_low_compression
S165,statute,empty_or_low_compression
S166,statute,empty_or_low_compression
S167,statute,empty_or_low_compression
S168,statute,empty_or_low_compression
S173,statute,empty_or_low_compression
S174,statute,empty_or_low_compression
S175,statute,empty_or_low_compression
S176,statute,empty_or_low_compression
S178,statute,empty_or_low_compression
S180,statute,empty_or_low_compression
S181,statute,empty_or_low_compression
S182,statute,empty_or_low_compression
S183,statute,empty_or_low_compression
S184,statute,empty_or_low_compression
S185,statute,empty_or_low_compression
S187,statute,empty_or_low_compression
S188,statute,empty_or_low_compression
S193,statute,empty_or_low_compression
S194,statute,empty_or_low_compression
S195,statute,empty_or_low_compression
S197,statute,empty_or_low_compression
S198,statute,empty_or_low_compression
S200,statute,empty_or_low_compression
