collection,label,support,precision,recall,f1
cases,constitutional_law,682,0.9823269513991163,0.9780058651026393,0.9801616458486406
cases,criminal_law,1790,0.9977616116396195,0.9960893854748604,0.9969247973161868
cases,civil_procedure,1712,0.9793510324483776,0.969626168224299,0.9744643381273849
cases,property_law,369,0.9862637362637363,0.9728997289972899,0.9795361527967257
cases,contract_law,206,0.9895833333333334,0.9223300970873787,0.9547738693467336
cases,service_law,491,1.0,0.9775967413441955,0.9886714727085478
cases,administrative_law,1131,0.9937444146559428,0.9832007073386384,0.9884444444444443
cases,evidence_law,1269,0.975968992248062,0.9921197793538219,0.9839781164517389
cases,family_law,249,0.9956896551724138,0.927710843373494,0.9604989604989606
cases,tax_law,147,0.9931506849315068,0.9863945578231292,0.9897610921501707
cases,labor_law,180,1.0,0.9777777777777777,0.9887640449438202
cases,writ_jurisdiction,343,0.9650145772594753,0.9650145772594753,0.9650145772594753
cases,statutory_interpretation,2085,0.9340511440107672,0.9985611510791367,0.9652294853963839
cases,other,0,0.0,0.0,0.0
statutes,constitutional_law,41,0.9318181818181818,1.0,0.9647058823529412
statutes,criminal_law,51,0.9074074074074074,0.9607843137254902,0.9333333333333333
statutes,civil_procedure,32,0.9393939393939394,0.96875,0.9538461538461539
statutes,property_law,28,0.8666666666666667,0.9285714285714286,0.896551724137931
statutes,contract_law,16,0.8823529411764706,0.9375,0.9090909090909091
statutes,service_law,15,0.9333333333333333,0.9333333333333333,0.9333333333333333
statutes,administrative_law,63,0.9090909090909091,0.9523809523809523,0.9302325581395349
statutes,evidence_law,8,0.6153846153846154,1.0,0.761904761904762
statutes,family_law,8,1.0,0.875,0.9333333333333333
statutes,tax_law,7,1.0,1.0,1.0
statutes,labor_law,11,1.0,0.9090909090909091,0.9523809523809523
statutes,writ_jurisdiction,8,0.875,0.875,0.875
statutes,statutory_interpretation,143,0.9662162162162162,1.0,0.9828178694158076
statutes,other,18,1.0,1.0,1.0
queries,constitutional_law,8,1.0,0.375,0.5454545454545454
queries,criminal_law,39,0.9743589743589743,0.9743589743589743,0.9743589743589743
queries,civil_procedure,28,0.8387096774193549,0.9285714285714286,0.8813559322033899
queries,property_law,8,0.875,0.875,0.875
queries,contract_law,3,0.5,1.0,0.6666666666666666
queries,service_law,5,0.8333333333333334,1.0,0.9090909090909091
queries,administrative_law,17,0.8125,0.7647058823529411,0.787878787878788
queries,evidence_law,19,0.75,0.631578947368421,0.6857142857142857
queries,family_law,3,0.75,1.0,0.8571428571428571
queries,tax_law,3,0.25,0.3333333333333333,0.28571428571428575
queries,labor_law,2,1.0,0.5,0.6666666666666666
queries,writ_jurisdiction,7,0.5555555555555556,0.7142857142857143,0.6250000000000001
queries,statutory_interpretation,46,1.0,0.13043478260869565,0.23076923076923078
queries,other,0,0.0,0.0,0.0
